,Movie,IMDB Score
0,The Shawshank Redemption,9.3
1,The Godfather,9.2
2,The Dark Knight,9.0
3,The Godfather: Part II,9.0
4,12 Angry Men,9.0
5,The Lord of the Rings: The Return of the King,8.9
6,Pulp Fiction,8.9
7,Schindler's List,8.9
8,Inception,8.8
9,Fight Club,8.8
10,The Lord of the Rings: The Fellowship of the Ring,8.8
11,Forrest Gump,8.8
12,"The Good, the Bad and the Ugly",8.8
13,The Lord of the Rings: The Two Towers,8.7
14,The Matrix,8.7
15,Goodfellas,8.7
16,Star Wars: Episode V - The Empire Strikes Back,8.7
17,One Flew Over the Cuckoo's Nest,8.7
18,Parasite,8.6
19,Interstellar,8.6
20,City of God,8.6
21,Spirited Away,8.6
22,Saving Private Ryan,8.6
23,The Green Mile,8.6
24,Life Is Beautiful,8.6
25,Se7en,8.6
26,The Silence of the Lambs,8.6
27,Star Wars: Episode IV - A New Hope,8.6
28,Hara-Kiri,8.6
29,Pather Panchali,8.6
30,Seven Samurai,8.6
31,It's a Wonderful Life,8.6
32,Hamilton,8.5
33,Whiplash,8.5
34,The Intouchables,8.5
35,The Prestige,8.5
36,The Departed,8.5
37,The Pianist,8.5
38,Gladiator,8.5
39,American History X,8.5
40,The Usual Suspects,8.5
41,Léon: The Professional,8.5
42,The Lion King,8.5
43,Terminator 2: Judgment Day,8.5
44,Cinema Paradiso,8.5
45,Grave of the Fireflies,8.5
46,Back to the Future,8.5
47,Once Upon a Time in the West,8.5
48,Psycho,8.5
49,Rear Window,8.5
50,Casablanca,8.5
51,Modern Times,8.5
52,City Lights,8.5
53,Capernaum,8.4
54,Joker,8.4
55,Your Name,8.4
56,Spider-Man: Into the Spider-Verse,8.4
57,Avengers: Endgame,8.4
58,Avengers: Infinity War,8.4
59,Coco,8.4
60,Django Unchained,8.4
61,The Dark Knight Rises,8.4
62,3 Idiots,8.4
63,Like Stars on Earth,8.4
64,WALL·E,8.4
65,The Lives of Others,8.4
66,Oldboy,8.4
67,Memento,8.4
68,Princess Mononoke,8.4
69,Once Upon a Time in America,8.4
70,Indiana Jones and the Raiders of the Lost Ark,8.4
71,The Shining,8.4
72,Apocalypse Now,8.4
73,Alien,8.4
74,High and Low,8.4
75,Dr,8.4
76,Witness for the Prosecution,8.4
77,Paths of Glory,8.4
78,Sunset Blvd,8.4
79,The Great Dictator,8.4
80,The Hunt,8.3
81,Inglourious Basterds,8.3
82,Eternal Sunshine of the Spotless Mind,8.3
83,Requiem for a Dream,8.3
84,American Beauty,8.3
85,Good Will Hunting,8.3
86,Toy Story,8.3
87,Braveheart,8.3
88,Reservoir Dogs,8.3
89,Come and See,8.3
90,Aliens,8.3
91,Amadeus,8.3
92,Star Wars: Episode VI - Return of the Jedi,8.3
93,Das Boot,8.3
94,2001: A Space Odyssey,8.3
95,North by Northwest,8.3
96,Vertigo,8.3
97,Singin' in the Rain,8.3
98,Citizen Kane,8.3
99,M,8.3
